Barcode,Name,Price,InStock
BRC100060,Item 60,42.71,16
BRC100061,Item 61,65.09,420
BRC100062,Item 62,34.13,418
BRC100063,Item 63,41.62,149
BRC100064,Item 64,10.25,10
BRC100065,Item 65,15.83,186
BRC100066,Item 66,53.19,173
BRC100067,Item 67,10.14,316
BRC100068,Item 68,36.62,148
BRC100069,Item 69,44.2,223
BRC100070,Item 70,38.7,195
BRC100071,Item 71,45.13,359
BRC100072,Item 72,67.01,147
BRC100073,Item 73,16.52,234
BRC100074,Item 74,48.62,377
BRC100075,Item 75,20.21,107
BRC100076,Item 76,84.96,106
BRC100077,Item 77,96.69,493
BRC100078,Item 78,19.49,329
BRC100079,Item 79,40.68,377
BRC100080,Item 80,55.67,361
BRC100081,Item 81,93.03,144
BRC100082,Item 82,17.22,237
BRC100083,Item 83,48.46,190
BRC100084,Item 84,4.42,370
BRC100085,Item 85,22.33,272
BRC100086,Item 86,36.53,148
BRC100087,Item 87,80.57,236
BRC100088,Item 88,55.74,45
BRC100089,Item 89,84.22,182
BRC100090,Item 90,38.27,404
BRC100091,Item 91,16.98,96
BRC100092,Item 92,25.69,306
BRC100093,Item 93,74.78,11
BRC100094,Item 94,11.35,343
BRC100095,Item 95,51.59,293
BRC100096,Item 96,84.68,89
BRC100097,Item 97,76.53,18
BRC100098,Item 98,86.93,172
BRC100099,Item 99,52.84,69
BRC100100,Item 100,29.58,275
BRC100101,Item 101,90.89,153
BRC100102,Item 102,53.68,75
BRC100103,Item 103,91.35,341
BRC100104,Item 104,25.36,120
BRC100105,Item 105,52.35,7
BRC100106,Item 106,36.86,341
BRC100107,Item 107,26.26,214
BRC100108,Item 108,49.06,309
BRC100109,Item 109,25.98,232
BRC100110,Item 110,16.62,427
BRC100111,Item 111,82.98,366
BRC100112,Item 112,99.6,212
BRC100113,Item 113,89.06,391
BRC100114,Item 114,72.56,72
BRC100115,Item 115,5.82,212
BRC100116,Item 116,63.83,296
BRC100117,Item 117,29.8,499
BRC100118,Item 118,44.75,432
BRC100119,Item 119,53.03,87
BRC100120,Item 120,94.0,146
BRC100121,Item 121,85.02,266
BRC100122,Item 122,47.36,108
BRC100123,Item 123,37.54,23
BRC100124,Item 124,94.12,264
BRC100125,Item 125,96.31,261
BRC100126,Item 126,5.63,500
BRC100127,Item 127,70.8,334
BRC100128,Item 128,8.61,385
BRC100129,Item 129,16.67,10
BRC100130,Item 130,91.75,453
BRC100131,Item 131,8.67,73
BRC100132,Item 132,92.06,180
BRC100133,Item 133,61.78,131
BRC100134,Item 134,32.11,487
BRC100135,Item 135,45.82,36
BRC100136,Item 136,93.9,420
BRC100137,Item 137,66.36,142
BRC100138,Item 138,93.96,379
BRC100139,Item 139,17.71,183
BRC100140,Item 140,99.86,124
BRC100141,Item 141,56.79,488
BRC100142,Item 142,47.38,371
BRC100143,Item 143,78.27,37
BRC100144,Item 144,7.81,370
BRC100145,Item 145,91.79,84
BRC100146,Item 146,39.57,258
BRC100147,Item 147,98.84,183
BRC100148,Item 148,8.21,214
BRC100149,Item 149,17.05,167
BRC100150,Item 150,66.01,195
BRC100151,Item 151,97.59,369
BRC100152,Item 152,48.87,355
BRC100153,Item 153,47.2,187
BRC100154,Item 154,72.73,79
BRC100155,Item 155,48.05,274
BRC100156,Item 156,21.83,216
BRC100157,Item 157,67.46,121
BRC100158,Item 158,39.94,483
BRC100159,Item 159,2.45,125
BRC100160,Item 160,47.55,248
BRC100161,Item 161,14.98,69
BRC100162,Item 162,10.61,346
BRC100163,Item 163,20.73,115
BRC100164,Item 164,63.38,498
BRC100165,Item 165,91.31,6
BRC100166,Item 166,58.51,340
BRC100167,Item 167,48.28,360
BRC100168,Item 168,15.36,441
BRC100169,Item 169,64.86,193
BRC100170,Item 170,12.99,145
BRC100171,Item 171,43.06,45
BRC100172,Item 172,18.35,321
BRC100173,Item 173,85.22,215
BRC100174,Item 174,66.99,283
BRC100175,Item 175,30.89,436
BRC100176,Item 176,71.51,211
BRC100177,Item 177,82.49,185
BRC100178,Item 178,81.34,319
BRC100179,Item 179,74.11,163
BRC100180,Item 180,21.75,158
BRC100181,Item 181,39.78,235
BRC100182,Item 182,67.42,420
BRC100183,Item 183,66.46,81
BRC100184,Item 184,50.63,76
BRC100185,Item 185,43.53,351
BRC100186,Item 186,50.63,324
BRC100187,Item 187,80.13,486
BRC100188,Item 188,58.26,149
BRC100189,Item 189,9.75,84
BRC100190,Item 190,69.22,161
BRC100191,Item 191,46.15,363
BRC100192,Item 192,87.16,361
BRC100193,Item 193,34.47,363
BRC100194,Item 194,62.12,496
BRC100195,Item 195,96.58,206
BRC100196,Item 196,6.05,419
BRC100197,Item 197,62.47,404
BRC100198,Item 198,75.87,27
BRC100199,Item 199,58.51,355
BRC100200,Item 200,39.17,25
BRC100201,Item 201,36.57,315
BRC100202,Item 202,97.6,231
BRC100203,Item 203,13.49,174
BRC100204,Item 204,55.02,257
BRC100205,Item 205,74.53,315
BRC100206,Item 206,27.99,97
BRC100207,Item 207,59.08,194
BRC100208,Item 208,78.04,428
BRC100209,Item 209,66.27,76
BRC100210,Item 210,60.22,217
BRC100211,Item 211,46.51,304
BRC100212,Item 212,47.08,280
BRC100213,Item 213,30.5,315
BRC100214,Item 214,90.82,436
BRC100215,Item 215,22.41,120
BRC100216,Item 216,50.94,500
BRC100217,Item 217,12.68,270
BRC100218,Item 218,78.82,132
BRC100219,Item 219,85.27,387
BRC100220,Item 220,30.33,216
BRC100221,Item 221,8.06,180
BRC100222,Item 222,1.89,414
BRC100223,Item 223,68.83,41
BRC100224,Item 224,73.82,171
BRC100225,Item 225,94.0,186
BRC100226,Item 226,93.14,434
BRC100227,Item 227,55.34,324
BRC100228,Item 228,92.89,162
BRC100229,Item 229,99.66,261
BRC100230,Item 230,41.89,225
BRC100231,Item 231,10.85,487
BRC100232,Item 232,47.29,33
BRC100233,Item 233,48.93,440
BRC100234,Item 234,19.77,66
BRC100235,Item 235,75.29,446
BRC100236,Item 236,1.49,361
BRC100237,Item 237,15.89,197
BRC100238,Item 238,18.99,431
BRC100239,Item 239,80.11,376
BRC100240,Item 240,16.92,348
BRC100241,Item 241,97.82,436
BRC100242,Item 242,11.66,61
BRC100243,Item 243,7.03,256
BRC100244,Item 244,5.32,459
BRC100245,Item 245,9.52,197
BRC100246,Item 246,86.6,231
BRC100247,Item 247,58.2,271
BRC100248,Item 248,2.05,51
BRC100249,Item 249,87.05,121
BRC100250,Item 250,97.77,76
BRC100251,Item 251,86.35,364
BRC100252,Item 252,36.37,184
BRC100253,Item 253,79.99,480
BRC100254,Item 254,19.97,172
BRC100255,Item 255,66.39,385
BRC100256,Item 256,46.99,163
BRC100257,Item 257,1.25,171
BRC100258,Item 258,68.36,385
BRC100259,Item 259,58.89,227
BRC100260,Item 260,36.49,391
BRC100261,Item 261,37.3,223
BRC100262,Item 262,45.71,256
BRC100263,Item 263,11.86,30
BRC100264,Item 264,64.7,64
BRC100265,Item 265,97.05,68
BRC100266,Item 266,23.63,98
BRC100267,Item 267,79.61,306
BRC100268,Item 268,78.68,131
BRC100269,Item 269,79.75,440
BRC100270,Item 270,19.32,448
BRC100271,Item 271,45.05,391
BRC100272,Item 272,23.41,74
BRC100273,Item 273,63.29,262
BRC100274,Item 274,1.49,306
BRC100275,Item 275,12.66,315
BRC100276,Item 276,62.72,210
BRC100277,Item 277,23.8,283
BRC100278,Item 278,20.19,476
BRC100279,Item 279,28.79,195
BRC100280,Item 280,82.77,241
BRC100281,Item 281,87.65,11
BRC100282,Item 282,7.19,221
BRC100283,Item 283,32.13,46
BRC100284,Item 284,67.66,12
BRC100285,Item 285,86.7,365
BRC100286,Item 286,74.52,287
BRC100287,Item 287,59.76,174
BRC100288,Item 288,31.13,327
BRC100289,Item 289,66.3,163
BRC100290,Item 290,19.35,79
BRC100291,Item 291,57.62,344
BRC100292,Item 292,99.84,400
BRC100293,Item 293,91.62,499
BRC100294,Item 294,21.22,308
BRC100295,Item 295,46.33,485
BRC100296,Item 296,57.69,344
BRC100297,Item 297,3.17,67
BRC100298,Item 298,94.02,332
BRC100299,Item 299,80.36,251
BRC100300,Item 300,47.74,473
BRC100301,Item 301,81.7,483
BRC100302,Item 302,83.48,437
BRC100303,Item 303,79.38,176
BRC100304,Item 304,33.92,395
BRC100305,Item 305,54.06,181
BRC100306,Item 306,63.78,394
BRC100307,Item 307,47.47,65
BRC100308,Item 308,34.97,298
BRC100309,Item 309,98.3,275
BRC100310,Item 310,46.92,371
BRC100311,Item 311,8.03,331
BRC100312,Item 312,84.32,246
BRC100313,Item 313,62.4,280
BRC100314,Item 314,68.66,221
BRC100315,Item 315,88.69,272
BRC100316,Item 316,41.13,405
BRC100317,Item 317,82.27,365
BRC100318,Item 318,31.48,56
BRC100319,Item 319,29.99,472
BRC100320,Item 320,69.49,191
BRC100321,Item 321,13.87,413
BRC100322,Item 322,15.92,470
BRC100323,Item 323,67.38,42
BRC100324,Item 324,45.59,144
BRC100325,Item 325,73.57,276
BRC100326,Item 326,43.9,293
BRC100327,Item 327,42.25,88
BRC100328,Item 328,66.69,407
BRC100329,Item 329,65.44,54
BRC100330,Item 330,60.19,46
BRC100331,Item 331,62.16,85
BRC100332,Item 332,18.54,61
BRC100333,Item 333,48.89,497
BRC100334,Item 334,32.63,109
BRC100335,Item 335,84.92,463
BRC100336,Item 336,22.37,427
BRC100337,Item 337,69.34,329
BRC100338,Item 338,80.01,81
BRC100339,Item 339,72.05,475
BRC100340,Item 340,54.9,432
BRC100341,Item 341,41.83,252
BRC100342,Item 342,96.02,212
BRC100343,Item 343,53.22,40
BRC100344,Item 344,90.51,286
BRC100345,Item 345,14.41,35
BRC100346,Item 346,18.46,159
BRC100347,Item 347,21.08,6
BRC100348,Item 348,83.22,379
BRC100349,Item 349,88.31,399
BRC100350,Item 350,19.06,424
BRC100351,Item 351,36.25,327
BRC100352,Item 352,16.54,449
BRC100353,Item 353,41.41,96
BRC100354,Item 354,81.51,227
BRC100355,Item 355,15.81,204
BRC100356,Item 356,42.2,63
BRC100357,Item 357,65.68,452
BRC100358,Item 358,75.72,367
BRC100359,Item 359,1.68,231
BRC100360,Item 360,79.48,165
BRC100361,Item 361,76.17,388
BRC100362,Item 362,60.64,45
BRC100363,Item 363,45.74,485
BRC100364,Item 364,7.05,129
BRC100365,Item 365,33.17,223
BRC100366,Item 366,38.7,356
BRC100367,Item 367,42.77,405
BRC100368,Item 368,43.24,404
BRC100369,Item 369,15.3,249
BRC100370,Item 370,39.98,92
BRC100371,Item 371,15.76,445
BRC100372,Item 372,12.91,309
BRC100373,Item 373,23.16,210
BRC100374,Item 374,86.27,102
BRC100375,Item 375,97.99,247
BRC100376,Item 376,20.47,136
BRC100377,Item 377,93.97,467
BRC100378,Item 378,83.35,447
BRC100379,Item 379,83.68,164
BRC100380,Item 380,34.99,45
BRC100381,Item 381,54.44,122
BRC100382,Item 382,77.7,28
BRC100383,Item 383,14.33,400
BRC100384,Item 384,96.08,320
BRC100385,Item 385,91.67,76
BRC100386,Item 386,95.17,76
BRC100387,Item 387,72.97,137
BRC100388,Item 388,47.3,356
BRC100389,Item 389,71.28,121
BRC100390,Item 390,87.05,425
BRC100391,Item 391,66.43,2
BRC100392,Item 392,54.32,224
BRC100393,Item 393,51.85,179
BRC100394,Item 394,75.98,209
BRC100395,Item 395,20.49,376
BRC100396,Item 396,49.65,249
BRC100397,Item 397,75.88,192
BRC100398,Item 398,26.52,256
BRC100399,Item 399,21.24,274
BRC100400,Item 400,93.45,112
BRC100401,Item 401,38.76,320
BRC100402,Item 402,29.78,37
BRC100403,Item 403,17.46,359
BRC100404,Item 404,2.77,2
BRC100405,Item 405,61.02,379
BRC100406,Item 406,22.49,179
BRC100407,Item 407,47.98,429
BRC100408,Item 408,17.62,438
BRC100409,Item 409,69.07,49
BRC100410,Item 410,29.48,73
BRC100411,Item 411,6.63,413
BRC100412,Item 412,48.59,452
BRC100413,Item 413,67.85,161
BRC100414,Item 414,10.71,198
BRC100415,Item 415,39.79,34
BRC100416,Item 416,92.56,156
BRC100417,Item 417,10.27,472
BRC100418,Item 418,9.66,134
BRC100419,Item 419,76.23,256
BRC100420,Item 420,29.39,114
BRC100421,Item 421,43.35,211
BRC100422,Item 422,40.31,225
BRC100423,Item 423,13.55,221
BRC100424,Item 424,57.29,181
BRC100425,Item 425,58.6,56
BRC100426,Item 426,42.63,370
BRC100427,Item 427,79.53,153
BRC100428,Item 428,82.16,313
BRC100429,Item 429,96.69,214
BRC100430,Item 430,82.5,414
BRC100431,Item 431,85.72,93
BRC100432,Item 432,51.27,295
BRC100433,Item 433,64.73,245
BRC100434,Item 434,55.2,356
BRC100435,Item 435,62.87,96
BRC100436,Item 436,81.0,54
BRC100437,Item 437,5.86,449
BRC100438,Item 438,89.04,190
BRC100439,Item 439,72.17,269
BRC100440,Item 440,31.69,28
BRC100441,Item 441,84.28,95
BRC100442,Item 442,49.12,9
BRC100443,Item 443,59.22,289
BRC100444,Item 444,64.76,374
BRC100445,Item 445,2.19,202
BRC100446,Item 446,42.88,69
BRC100447,Item 447,97.56,178
BRC100448,Item 448,28.66,281
BRC100449,Item 449,57.05,405
BRC100450,Item 450,10.78,369
BRC100451,Item 451,68.53,171
BRC100452,Item 452,88.9,62
BRC100453,Item 453,81.39,163
BRC100454,Item 454,45.29,94
BRC100455,Item 455,81.8,75
BRC100456,Item 456,56.52,50
BRC100457,Item 457,98.3,494
BRC100458,Item 458,26.05,490
BRC100459,Item 459,6.2,281
BRC100460,Item 460,56.32,475
BRC100461,Item 461,86.13,5
BRC100462,Item 462,61.21,61
BRC100463,Item 463,16.86,257
BRC100464,Item 464,5.75,298
BRC100465,Item 465,91.26,149
BRC100466,Item 466,12.19,336
BRC100467,Item 467,43.64,327
BRC100468,Item 468,43.99,311
BRC100469,Item 469,91.02,29
BRC100470,Item 470,87.44,478
BRC100471,Item 471,65.75,89
BRC100472,Item 472,15.0,181
BRC100473,Item 473,80.87,464
BRC100474,Item 474,71.42,368
BRC100475,Item 475,35.62,160
BRC100476,Item 476,39.54,382
BRC100477,Item 477,57.47,261
BRC100478,Item 478,43.44,141
BRC100479,Item 479,49.12,102
BRC100480,Item 480,12.09,55
BRC100481,Item 481,34.61,386
BRC100482,Item 482,14.64,263
BRC100483,Item 483,79.0,92
BRC100484,Item 484,29.54,149
BRC100485,Item 485,80.32,73
BRC100486,Item 486,58.17,218
BRC100487,Item 487,87.25,38
BRC100488,Item 488,60.01,224
BRC100489,Item 489,64.11,154
BRC100490,Item 490,15.35,381
BRC100491,Item 491,79.24,98
BRC100492,Item 492,63.33,448
BRC100493,Item 493,74.11,279
BRC100494,Item 494,47.48,277
BRC100495,Item 495,98.94,337
BRC100496,Item 496,42.22,2
BRC100497,Item 497,3.0,43
BRC100498,Item 498,74.59,212
BRC100499,Item 499,29.54,335
BRC100500,Item 500,22.96,76
BRC100501,Item 501,73.76,234
BRC100502,Item 502,71.42,185
BRC100503,Item 503,89.08,68
BRC100504,Item 504,21.34,66
BRC100505,Item 505,26.33,215
BRC100506,Item 506,34.18,492
BRC100507,Item 507,28.29,470
BRC100508,Item 508,87.56,112
BRC100509,Item 509,67.43,276
BRC100510,Item 510,25.18,36
BRC100511,Item 511,19.51,164
BRC100512,Item 512,67.86,40
BRC100513,Item 513,23.4,337
BRC100514,Item 514,99.69,191
BRC100515,Item 515,91.64,135
BRC100516,Item 516,77.81,188
BRC100517,Item 517,28.58,413
BRC100518,Item 518,67.35,366
BRC100519,Item 519,76.57,188
BRC100520,Item 520,88.15,178
BRC100521,Item 521,58.24,270
BRC100522,Item 522,72.43,429
BRC100523,Item 523,62.89,494
BRC100524,Item 524,72.33,113
BRC100525,Item 525,32.72,363
BRC100526,Item 526,54.75,399
BRC100527,Item 527,84.3,182
BRC100528,Item 528,98.79,334
BRC100529,Item 529,46.57,439
BRC100530,Item 530,23.87,260
BRC100531,Item 531,23.68,444
BRC100532,Item 532,14.02,4
BRC100533,Item 533,78.54,102
BRC100534,Item 534,6.42,376
BRC100535,Item 535,8.6,341
BRC100536,Item 536,37.07,208
BRC100537,Item 537,14.94,470
BRC100538,Item 538,98.8,372
BRC100539,Item 539,31.7,318
BRC100540,Item 540,40.88,264
BRC100541,Item 541,44.54,249
BRC100542,Item 542,90.09,227
BRC100543,Item 543,45.67,269
BRC100544,Item 544,20.07,410
BRC100545,Item 545,83.67,260
BRC100546,Item 546,9.57,237
BRC100547,Item 547,24.16,73
BRC100548,Item 548,1.25,21
BRC100549,Item 549,66.4,233
BRC100550,Item 550,95.29,361
BRC100551,Item 551,5.95,52
BRC100552,Item 552,3.76,436
BRC100553,Item 553,75.57,39
BRC100554,Item 554,8.33,323
BRC100555,Item 555,29.66,222
BRC100556,Item 556,52.22,54
BRC100557,Item 557,67.93,43
BRC100558,Item 558,62.76,298
BRC100559,Item 559,35.87,115
BRC100560,Item 560,10.83,376
BRC100561,Item 561,42.69,395
BRC100562,Item 562,37.25,500
BRC100563,Item 563,90.23,313
BRC100564,Item 564,32.39,124
BRC100565,Item 565,71.07,104
BRC100566,Item 566,93.94,424
BRC100567,Item 567,50.96,19
BRC100568,Item 568,84.28,209
BRC100569,Item 569,23.42,163
BRC100570,Item 570,45.06,137
BRC100571,Item 571,13.84,317
BRC100572,Item 572,49.92,5
BRC100573,Item 573,16.74,321
BRC100574,Item 574,9.82,195
BRC100575,Item 575,78.87,198
BRC100576,Item 576,21.45,482
BRC100577,Item 577,69.52,31
BRC100578,Item 578,16.99,31
BRC100579,Item 579,7.87,206
BRC100580,Item 580,28.39,297
BRC100581,Item 581,12.13,22
BRC100582,Item 582,60.84,450
BRC100583,Item 583,24.04,254
BRC100584,Item 584,4.84,439
BRC100585,Item 585,73.55,129
BRC100586,Item 586,46.84,452
BRC100587,Item 587,13.34,318
BRC100588,Item 588,17.01,302
BRC100589,Item 589,52.07,94
BRC100590,Item 590,43.07,224
BRC100591,Item 591,88.87,330
BRC100592,Item 592,23.42,465
BRC100593,Item 593,22.36,476
BRC100594,Item 594,31.43,231
BRC100595,Item 595,48.49,450
BRC100596,Item 596,31.46,207
BRC100597,Item 597,83.11,1
BRC100598,Item 598,22.74,257
BRC100599,Item 599,81.54,348
BRC100600,Item 600,26.01,444
BRC100601,Item 601,22.94,98
BRC100602,Item 602,16.31,397
BRC100603,Item 603,97.73,111
BRC100604,Item 604,67.36,396
BRC100605,Item 605,74.16,139
BRC100606,Item 606,24.26,137
BRC100607,Item 607,3.9,428
BRC100608,Item 608,46.81,277
BRC100609,Item 609,65.04,276
BRC100610,Item 610,75.17,168
BRC100611,Item 611,2.5,154
BRC100612,Item 612,78.9,418
BRC100613,Item 613,47.55,359
BRC100614,Item 614,97.14,30
BRC100615,Item 615,98.06,383
BRC100616,Item 616,91.17,150
BRC100617,Item 617,7.67,97
BRC100618,Item 618,86.55,310
BRC100619,Item 619,62.71,383
BRC100620,Item 620,57.25,75
BRC100621,Item 621,47.74,289
BRC100622,Item 622,88.92,59
BRC100623,Item 623,43.2,100
BRC100624,Item 624,6.14,278
BRC100625,Item 625,35.75,285
BRC100626,Item 626,30.42,195
BRC100627,Item 627,90.76,491
BRC100628,Item 628,46.68,331
BRC100629,Item 629,72.58,345
BRC100630,Item 630,37.43,98
BRC100631,Item 631,6.71,359
BRC100632,Item 632,81.67,87
BRC100633,Item 633,36.49,341
BRC100634,Item 634,50.89,415
BRC100635,Item 635,21.92,432
BRC100636,Item 636,46.97,371
BRC100637,Item 637,42.12,495
BRC100638,Item 638,16.38,433
BRC100639,Item 639,85.89,472
BRC100640,Item 640,33.75,175
BRC100641,Item 641,36.45,317
BRC100642,Item 642,78.2,40
BRC100643,Item 643,74.05,492
BRC100644,Item 644,54.27,46
BRC100645,Item 645,55.37,410
BRC100646,Item 646,88.5,164
BRC100647,Item 647,93.01,14
BRC100648,Item 648,1.79,345
BRC100649,Item 649,39.11,28
BRC100650,Item 650,19.97,46
BRC100651,Item 651,82.02,269
BRC100652,Item 652,47.45,356
BRC100653,Item 653,64.03,292
BRC100654,Item 654,40.77,411
BRC100655,Item 655,79.05,37
BRC100656,Item 656,68.43,212
BRC100657,Item 657,69.64,490
BRC100658,Item 658,58.23,61
BRC100659,Item 659,28.81,387
BRC100660,Item 660,65.49,217
BRC100661,Item 661,81.68,435
BRC100662,Item 662,14.33,150
BRC100663,Item 663,94.38,308
BRC100664,Item 664,12.93,162
BRC100665,Item 665,83.16,192
BRC100666,Item 666,2.57,288
BRC100667,Item 667,26.26,77
BRC100668,Item 668,57.95,79
BRC100669,Item 669,77.59,61
BRC100670,Item 670,89.15,349
BRC100671,Item 671,34.31,280
BRC100672,Item 672,26.75,278
BRC100673,Item 673,45.56,258
BRC100674,Item 674,77.5,117
BRC100675,Item 675,41.92,497
BRC100676,Item 676,8.26,282
BRC100677,Item 677,16.22,35
BRC100678,Item 678,51.46,300
BRC100679,Item 679,82.95,161
BRC100680,Item 680,69.35,276
BRC100681,Item 681,5.15,191
BRC100682,Item 682,65.62,315
BRC100683,Item 683,76.83,205
BRC100684,Item 684,71.08,492
BRC100685,Item 685,8.56,316
BRC100686,Item 686,80.39,442
BRC100687,Item 687,25.43,354
BRC100688,Item 688,31.39,377
BRC100689,Item 689,72.33,297
BRC100690,Item 690,64.27,235
BRC100691,Item 691,16.86,329
BRC100692,Item 692,69.27,454
BRC100693,Item 693,66.25,365
BRC100694,Item 694,28.88,364
BRC100695,Item 695,86.79,147
BRC100696,Item 696,4.67,247
BRC100697,Item 697,22.13,297
BRC100698,Item 698,42.77,98
BRC100699,Item 699,80.73,473
BRC100700,Item 700,67.02,449
BRC100701,Item 701,34.51,340
BRC100702,Item 702,56.29,484
BRC100703,Item 703,13.63,88
BRC100704,Item 704,88.15,19
BRC100705,Item 705,88.11,397
BRC100706,Item 706,21.95,308
BRC100707,Item 707,53.66,436
BRC100708,Item 708,63.99,427
BRC100709,Item 709,69.27,421
BRC100710,Item 710,35.99,96
BRC100711,Item 711,46.68,120
BRC100712,Item 712,69.55,122
BRC100713,Item 713,11.77,264
BRC100714,Item 714,96.23,488
BRC100715,Item 715,19.03,451
BRC100716,Item 716,56.97,108
BRC100717,Item 717,93.85,495
BRC100718,Item 718,54.84,326
BRC100719,Item 719,55.51,361
BRC100720,Item 720,65.33,265
BRC100721,Item 721,97.19,179
BRC100722,Item 722,75.62,270
BRC100723,Item 723,69.75,32
BRC100724,Item 724,72.01,203
BRC100725,Item 725,1.47,24
BRC100726,Item 726,4.96,116
BRC100727,Item 727,58.58,1
BRC100728,Item 728,52.51,213
BRC100729,Item 729,58.61,106
BRC100730,Item 730,75.01,218
BRC100731,Item 731,35.99,401
BRC100732,Item 732,30.93,14
BRC100733,Item 733,57.45,67
BRC100734,Item 734,6.84,316
BRC100735,Item 735,8.13,188
BRC100736,Item 736,13.17,382
BRC100737,Item 737,44.32,278
BRC100738,Item 738,5.38,38
BRC100739,Item 739,52.59,201
BRC100740,Item 740,49.5,276
BRC100741,Item 741,79.23,142
BRC100742,Item 742,54.87,87
BRC100743,Item 743,14.43,95
BRC100744,Item 744,63.16,144
BRC100745,Item 745,47.11,61
BRC100746,Item 746,15.6,277
BRC100747,Item 747,71.06,295
BRC100748,Item 748,52.46,466
BRC100749,Item 749,38.46,305
BRC100750,Item 750,61.06,358
BRC100751,Item 751,99.35,480
BRC100752,Item 752,16.36,422
BRC100753,Item 753,46.72,90
BRC100754,Item 754,61.22,82
BRC100755,Item 755,63.51,330
BRC100756,Item 756,85.75,372
BRC100757,Item 757,2.84,22
BRC100758,Item 758,45.43,203
BRC100759,Item 759,2.86,164
BRC100760,Item 760,19.87,472
BRC100761,Item 761,75.71,333
BRC100762,Item 762,71.58,464
BRC100763,Item 763,17.48,254
BRC100764,Item 764,46.7,443
BRC100765,Item 765,15.08,186
BRC100766,Item 766,50.03,139
BRC100767,Item 767,92.77,485
BRC100768,Item 768,29.64,435
BRC100769,Item 769,55.7,442
BRC100770,Item 770,83.23,177
BRC100771,Item 771,18.06,337
BRC100772,Item 772,73.08,376
BRC100773,Item 773,58.09,411
BRC100774,Item 774,56.63,197
BRC100775,Item 775,31.72,292
BRC100776,Item 776,23.97,136
BRC100777,Item 777,45.87,225
BRC100778,Item 778,66.26,409
BRC100779,Item 779,86.87,376
BRC100780,Item 780,99.78,337
BRC100781,Item 781,69.42,490
BRC100782,Item 782,20.94,94
BRC100783,Item 783,21.56,266
BRC100784,Item 784,96.3,271
BRC100785,Item 785,27.99,280
BRC100786,Item 786,57.48,288
BRC100787,Item 787,62.82,240
BRC100788,Item 788,70.52,459
BRC100789,Item 789,83.2,65
BRC100790,Item 790,63.66,411
BRC100791,Item 791,91.4,138
BRC100792,Item 792,1.44,256
BRC100793,Item 793,61.05,434
BRC100794,Item 794,95.48,84
BRC100795,Item 795,30.38,334
BRC100796,Item 796,17.91,45
BRC100797,Item 797,90.07,264
BRC100798,Item 798,86.53,209
BRC100799,Item 799,70.34,468
BRC100800,Item 800,28.58,78
BRC100801,Item 801,75.94,18
BRC100802,Item 802,57.24,163
BRC100803,Item 803,38.42,381
BRC100804,Item 804,74.59,449
BRC100805,Item 805,75.02,212
BRC100806,Item 806,10.63,97
BRC100807,Item 807,55.34,323
BRC100808,Item 808,1.3,404
BRC100809,Item 809,76.56,255
BRC100810,Item 810,53.07,272
BRC100811,Item 811,49.26,127
BRC100812,Item 812,36.28,289
BRC100813,Item 813,10.07,435
BRC100814,Item 814,19.2,91
BRC100815,Item 815,22.82,367
BRC100816,Item 816,60.17,321
BRC100817,Item 817,92.38,410
BRC100818,Item 818,38.71,89
BRC100819,Item 819,64.3,62
BRC100820,Item 820,65.66,336
BRC100821,Item 821,69.99,218
